BPID,lat,lon,NbDocks,Installed,commonName
192,51.512515,-0.13320099999999999,16,2010-07-17 16:15:00,"Wardour Street, Soho"
193,51.505817,-0.100186,60,2010-07-17 18:47:59,"Bankside Mix, Bankside"
194,51.504627,-0.091773,56,2010-07-17 18:47:59,"Hop Exchange, The Borough"
195,51.507244,-0.106237,30,2010-07-17 18:47:59,"Milroy Walk, South Bank"
196,51.503688,-0.098497,17,2010-07-17 18:47:59,"Union Street, The Borough"
197,51.505569,-0.111606,27,2010-07-17 18:47:59,"Stamford Street, South Bank"
199,51.510484,-0.082989,24,2010-07-18 08:30:00,"Great Tower Street, Monument"
200,51.514924,-0.066078,14,2010-07-18 08:32:00,"LMU Commercial Road, Whitechapel"
201,51.522596,-0.161113,16,2010-07-18 09:08:00,"Dorset Square, Marylebone"
202,51.512363,-0.06954199999999999,37,2010-07-18 09:12:00,"Leman Street, Aldgate"
203,51.518218,-0.10079099999999999,15,2010-07-18 09:33:00,"West Smithfield Rotunda, Farringdon"
204,51.526599,-0.11243199999999999,19,2010-07-18 15:24:00,"Margery Street, Clerkenwell"
206,51.518154,-0.062697,36,2010-07-18 16:43:00,"New Road 1 , Whitechapel"
207,51.501352,-0.153194,18,2010-07-19 16:49:00,"Grosvenor Crescent, Belgravia"
208,51.525051,-0.16630399999999998,20,2010-07-18 17:03:00,"Mallory Street, Marylebone"
209,51.493583,-0.165101,30,2010-07-19 08:46:00,"Denyer Street, Knightsbridge"
210,51.516814,-0.151926,21,2010-07-19 10:26:00,"Hinde Street, Marylebone"
211,51.494645,-0.158105,34,2010-07-19 10:37:00,"Cadogan Place, Knightsbridge"
212,51.506584,-0.199004,17,2010-07-19 10:54:00,"Campden Hill Road, Notting Hill"
213,51.50274,-0.14956899999999998,36,2010-07-19 10:57:00,"Wellington Arch, Hyde Park"
214,51.526838,-0.13050399999999998,32,2010-07-19 11:00:00,"Endsleigh Gardens, Euston"
215,51.519069,-0.088285,54,2010-07-19 11:03:00,"Moorfields, Moorgate"
216,51.490944999999996,-0.18119000000000002,30,2010-07-19 11:12:00,"Old Brompton Road, South Kensington"
217,51.516154,-0.082422,16,2010-07-19 11:14:00,"Wormwood Street, Liverpool Street"
218,51.489716,-0.17019399999999998,20,2010-07-19 12:49:00,"St. Luke's Church, Chelsea"
219,51.490163,-0.19039299999999998,29,2010-07-19 13:25:00,"Bramham Gardens, Earl's Court"
220,51.490664,-0.166485,27,2010-07-19 13:32:00,"Chelsea Green, Chelsea"
221,51.494816,-0.130458,16,2010-07-19 15:10:00,"Horseferry Road, Westminster"
222,51.502757,-0.155349,43,2010-07-20 08:22:00,"Knightsbridge, Hyde Park"
223,51.491484,-0.09022000000000001,24,2010-07-20 08:27:00,"Rodney Road , Walworth"
225,51.509353,-0.19642199999999999,30,2010-07-20 08:58:00,"Notting Hill Gate Station, Notting Hill"
226,51.508446,-0.131961,24,2010-07-20 09:02:00,"Charles II Street, West End"
227,51.528915,-0.11548000000000001,23,2010-07-20 09:05:00,"Great Percy Street, Clerkenwell"
228,51.507424,-0.134621,40,2010-07-20 09:08:00,"St. James's Square, St. James's"
229,51.506543,-0.123179,24,2010-07-20 09:23:00,"Whitehall Place, Strand"
230,51.506692,-0.10313699999999999,31,2010-07-20 09:27:00,"Poured Lines, Bankside"
231,51.493967,-0.178732,31,2010-07-20 10:47:00,"Queen's Gate (Central), South Kensington"
232,51.51501,-0.11275299999999999,16,2010-07-20 10:54:00,"Carey Street, Holborn"
233,51.50777,-0.13069899999999998,22,2010-07-20 11:11:00,"Pall Mall East, West End"
234,51.534504,-0.10699199999999999,24,2010-07-20 11:18:00,"Liverpool Road (N1 Centre), Angel"
235,51.495718,-0.110889,36,2010-07-20 11:34:00,"Kennington Road  , Vauxhall"
236,51.51838,-0.073438,30,2010-07-20 11:39:00,"Fashion Street, Whitechapel"
237,51.509786,-0.068161,30,2010-07-22 11:44:00,"Dock Street, Wapping"
238,51.523353,-0.175116,32,2010-07-20 12:12:00,"Frampton Street, Paddington"
239,51.524438,-0.138019,26,2010-07-20 12:16:00,"Warren Street Station, Euston"
240,51.505459,-0.105692,14,2010-07-20 12:18:00,"Colombo Street, Southwark"
242,51.522008,-0.151359,23,2010-07-20 12:24:00,"Beaumont Street, Marylebone"
243,51.490962,-0.139625,25,2010-07-20 12:29:00,"Gloucester Street, Pimlico"
244,51.516118,-0.128585,18,2010-07-20 12:34:00,"Earnshaw Street , Covent Garden"
245,51.485357,-0.142207,29,2010-07-20 12:41:00,"Grosvenor Road, Pimlico"
