Station,Entry-Weekday,Entry-Saturday,Entry-Sunday,Exit-Weekday,Exit-Saturday,Exit-Sunday,Annual-e-and-e-million,Year,Entry-Weekend,Exit-Weekend,Weekend-Weekday,Latitude,Longitude,Zones,Zone,Connections
Barking,22912.0,15199,10192,21587.0,13841,9937,13.955938,2011,12695.5,11889.0,0.3558664514681509,51.53952111,0.08083161,4,4,"{'Hammersmith and City', 'C2C', 'Overground', 'District'}"
Barking,22389.0,14391,9341,21963.0,13030,8845,13.719922,2010,11866.0,10937.5,0.3395626568188756,51.53952111,0.08083161,4,4,"{'Hammersmith and City', 'C2C', 'Overground', 'District'}"
Barkingside,2723.0,1440,931,2661.0,1403,934,1.620023,2017,1185.5,1168.5,0.3042129749289222,51.58585061,0.08847664,4,4,{'Central'}
Barkingside,2766.0,1493,921,2655.0,1445,926,1.633262,2016,1207.0,1185.5,0.306200806296794,51.58585061,0.08847664,4,4,{'Central'}
Barkingside,2505.0,1221,764,2208.0,1178,747,1.406286,2015,992.5,962.5,0.2931913617276545,51.58585061,0.08847664,4,4,{'Central'}
Barkingside,2390.0,1151,704,2150.0,1137,726,1.351966,2014,927.5,931.5,0.29051414283481797,51.58585061,0.08847664,4,4,{'Central'}
Barkingside,2160.0,1069,632,2016.0,1036,644,1.241272,2013,850.5,840.0,0.28816159549987214,51.58585061,0.08847664,4,4,{'Central'}
Barkingside,1944.0,913,568,1840.0,902,568,1.118756,2012,740.5,735.0,0.28053997528282154,51.58585061,0.08847664,4,4,{'Central'}
Barkingside,1994.0,977,653,1872.0,1012,622,1.156751,2011,815.0,817.0,0.29683521280465625,51.58585061,0.08847664,4,4,{'Central'}
Barkingside,1853.0,837,533,1815.0,877,535,1.080144,2010,685.0,706.0,0.27495552480727414,51.58585061,0.08847664,4,4,{'Central'}
Barons Court,12188.0,7011,5009,10959.0,6051,4894,7.119692,2017,6010.0,5472.5,0.33158145511774645,51.49022868,-0.213430145,2,2,"{'Piccadilly', 'District'}"
Barons Court,12371.0,7252,5086,11097.0,5924,4827,7.207423,2016,6169.0,5375.5,0.3297250981792217,51.49022868,-0.213430145,2,2,"{'Piccadilly', 'District'}"
Barons Court,12462.0,7438,5166,11231.0,6120,4933,7.295186,2015,6302.0,5526.5,0.3329955097616936,51.49022868,-0.213430145,2,2,"{'Piccadilly', 'District'}"
Barons Court,12540.0,7497,5236,11854.0,6367,5070,7.500664,2014,6366.5,5718.5,0.331286493599057,51.49022868,-0.213430145,2,2,"{'Piccadilly', 'District'}"
